date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:02	1489/1489	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202025%2012:09:02%20GMT	https://portfolionibrasse.vercel.app/robots.txt		(from )
13:09:03	39042/39042	---MCZ	200	added ('OK')	text/html	etag:W/%224d84ec050f1084be10cde451f13c0e20%22	https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/index9ff5.html	(from )
13:09:03	88092/88092	---M--	200	added ('OK')	image/jpeg	etag:%22ed774719ac3432bd22b5649d2f35cacd%22	https://portfolionibrasse.vercel.app/img/y.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/y.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:04	22144/22144	---MCZ	200	added ('OK')	text/css	etag:W/%22179dff73eb6bf9c172e059f29e76602f%22	https://portfolionibrasse.vercel.app/css/style.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/style.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:04	39/39	---M--	200	added ('OK')	text/css	etag:%22609fe9cc9efa29779a6e10b115f16492%22	https://portfolionibrasse.vercel.app/css/skins/color-1.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/skins/color-1.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:05	101784/101784	---M-Z	200	added ('OK')	text/css	etag:%22630e6e62-543a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:05	66419/66419	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v4.0.0/css/line.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/unicons.iconscout.com/release/v4.0.0/css/line.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:06	39/39	---M--	200	added ('OK')	text/css	etag:%22f85d114a61622b1a5d13510e432bb29e%22	https://portfolionibrasse.vercel.app/css/skins/color-2.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/skins/color-2.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:06	39/39	---M--	200	added ('OK')	text/css	etag:%22ce70885e9c3df6b6269087a2874d71f5%22	https://portfolionibrasse.vercel.app/css/skins/color-3.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/skins/color-3.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:07	39/39	---M--	200	added ('OK')	text/css	etag:%22f1f3899a3b59cc254ab2f95440a16b78%22	https://portfolionibrasse.vercel.app/css/skins/color-4.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/skins/color-4.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
